trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,num_distr,fixation.started,target.started,mouse.started,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate
70,0,70,0,5,111.0832308,111.0832308,0.0096943,[-0.07361111111111111],[0.24027777777777778],[1],[0],[0],[1.2222512999999253],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
72,0,72,0,5,113.4325544,113.4325544,0.0102499,[-0.013888888888888888],[-0.02361111111111111],[1],[0],[0],[2.9186394000000746],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
73,0,73,0,5,116.3649399,116.3649399,0.0120869,[0.1638888888888889],[0.019444444444444445],[1],[0],[0],[0.8665487999999186],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
75,0,75,0,5,118.2647144,118.2647144,0.010643,[-0.3388888888888889],[0.35],[1],[0],[0],[1.2033969999999954],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
81,0,81,0,5,125.92817,125.92817,0.0121255,[0.3388888888888889],[-0.44027777777777777],[1],[0],[0],[1.2345648000000438],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
83,0,83,0,5,129.1437515,129.1437515,0.0101944,[-0.13333333333333333],[-0.35694444444444445],[1],[0],[0],[0.9371730999999954],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
86,0,86,0,5,134.6091795,134.6091795,0.0121644,[-0.07361111111111111],[-0.04583333333333333],[1],[0],[0],[1.1174170000000458],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
89,0,89,0,5,137.740888,137.740888,0.0117357,[-0.13333333333333333],[0.25833333333333336],[1],[0],[0],[1.1186382000000776],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
91,0,91,0,5,140.5742319,140.5742319,0.011,[0.19305555555555556],[0.32916666666666666],[1],[0],[0],[1.7019927000000052],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
94,0,94,0,5,145.2383453,145.2383453,0.01269,[-0.2777777777777778],[-0.42916666666666664],[1],[0],[0],[1.6165897000000768],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
95,0,95,0,5,146.8711974,146.8711974,0.011286,[0.4111111111111111],[-0.11527777777777778],[1],[0],[0],[1.104071099999942],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
96,0,96,0,5,147.9873195,147.9873195,0.0118798,[0.36944444444444446],[-0.1486111111111111],[1],[0],[0],[1.6527368000000706],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
98,0,98,0,5,150.8866644,150.8866644,0.0122017,[0.34444444444444444],[-0.1486111111111111],[1],[0],[0],[0.9314918999999691],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
100,0,100,0,5,153.1690245,153.1690245,0.0113076,[0.10277777777777777],[-0.4027777777777778],[1],[0],[0],[1.7876443000000108],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
101,0,101,0,5,154.9686785,154.9686785,0.0097643,[0.37083333333333335],[0.36527777777777776],[1],[0],[0],[1.3513564999999517],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
102,0,102,0,5,156.3344848,156.3344848,0.0115623,[-0.43472222222222223],[-0.375],[1],[0],[0],[1.1887643999999682],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
103,0,103,0,5,157.5347802,157.5347802,0.012655,[0.2902777777777778],[0.275],[1],[0],[0],[1.148271300000033],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
104,0,104,0,5,158.7006535,158.7006535,0.0111993,[-0.30972222222222223],[-0.004166666666666667],[1],[0],[0],[0.9015916999999263],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
106,0,106,0,5,160.7164831,160.7164831,0.0116269,[0.005555555555555556],[-0.11527777777777778],[1],[0],[0],[1.1044282000000294],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
111,0,111,0,5,166.0978612,166.0978612,0.0122112,[-0.3958333333333333],[0.3958333333333333],[1],[0],[0],[1.2182497000000012],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
112,0,112,0,5,167.3308451,167.3308451,0.0111673,[-0.011111111111111112],[-0.03333333333333333],[1],[0],[0],[1.2707896000000574],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
113,0,113,0,5,168.6137286,168.6137286,0.0117012,[-0.14305555555555555],[0.23055555555555557],[1],[0],[0],[1.0189505999999255],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
116,0,116,0,5,171.7794827,171.7794827,0.0103906,[-0.37777777777777777],[-0.030555555555555555],[1],[0],[0],[1.0183275999999069],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
120,0,120,0,5,177.8605905,177.8605905,0.0115215,[-0.075],[0.11944444444444445],[1],[0],[0],[1.2400777999999946],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
121,0,121,0,5,179.1106585,179.1106585,0.0107174,[0.06805555555555555],[0.0375],[1],[0],[0],[1.0819355999999516],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
123,0,123,0,5,181.259385,181.259385,0.0115859,[-0.21805555555555556],[0.02638888888888889],[1],[0],[0],[0.9536642000000484],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
126,0,126,0,5,184.2425038,184.2425038,0.0117179,[0.2875],[0.08333333333333333],[1],[0],[0],[1.534612300000049],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
127,0,127,0,5,185.7915678,185.7915678,0.0113168,[-0.37916666666666665],[-0.3277777777777778],[1],[0],[0],[1.5533397000000377],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
131,0,131,0,5,191.4400214,191.4400214,0.0121688,[-0.4305555555555556],[0.3277777777777778],[1],[0],[0],[1.319392700000094],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
133,0,133,0,5,194.5052077,194.5052077,0.0110811,[-0.3347222222222222],[0.4513888888888889],[1],[0],[0],[1.9203378999999359],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
135,0,135,0,5,197.5216182,197.5216182,0.0112319,[0.04722222222222222],[-0.3347222222222222],[1],[0],[0],[1.121229699999958],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
139,0,139,0,5,203.6517753,203.6517753,0.010908,[-0.1375],[0.4777777777777778],[1],[0],[0],[1.2528738999999405],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
145,0,145,0,5,210.9829315,210.9829315,0.0110193,[-0.22083333333333333],[0.2125],[1],[0],[0],[0.7871191000000408],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
146,0,146,0,5,211.7830701,211.7830701,0.0116182,[0.29583333333333334],[0.06666666666666667],[1],[0],[0],[1.0856922000000395],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
149,0,149,0,5,215.214655,215.214655,0.0125054,[0.32916666666666666],[0.1597222222222222],[1],[0],[0],[1.2014485999999351],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
152,0,152,0,5,218.4638148,218.4638148,0.012145,[-0.3902777777777778],[-0.2625],[1],[0],[0],[0.8530064999999922],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
153,0,153,0,5,219.3300042,219.3300042,0.0113793,[-0.3472222222222222],[0.3625],[1],[0],[0],[1.501811900000007],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
158,0,158,0,5,226.178369,226.178369,0.0114505,[-0.1486111111111111],[0.020833333333333332],[1],[0],[0],[0.8023158999999396],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
162,0,162,0,5,230.159747,230.159747,0.0107484,[0.5541666666666667],[-0.10138888888888889],[1],[0],[0],[0.9039114999999356],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
164,0,164,0,5,232.1929801,232.1929801,0.0097085,[0.20694444444444443],[0.19722222222222222],[1],[0],[0],[0.9545661999999311],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
166,0,166,0,5,234.4082962,234.4082962,0.0102279,[0.15694444444444444],[0.17777777777777778],[1],[0],[0],[0.8702845000000252],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
167,0,167,0,5,235.2916378,235.2916378,0.0114797,[-0.20277777777777778],[0.4027777777777778],[1],[0],[0],[1.0681382999999869],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
168,0,168,0,5,236.3741844,236.3741844,0.0114995,[0.30416666666666664],[0.2708333333333333],[1],[0],[0],[1.1348953000000392],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
169,0,169,0,5,237.5242485,237.5242485,0.01082,[-0.4722222222222222],[0.10555555555555556],[1],[0],[0],[1.1706652000000304],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
170,0,170,0,5,238.7068439,238.7068439,0.01043,[0.25972222222222224],[0.40694444444444444],[1],[0],[0],[1.003356599999961],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
171,0,171,0,5,239.7230758,239.7230758,0.011479,[-0.4013888888888889],[0.45],[1],[0],[0],[1.1187223000000586],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
173,0,173,0,5,241.8721242,241.8721242,0.0112206,[-0.39166666666666666],[-0.4166666666666667],[1],[0],[0],[0.9695173999999724],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
174,0,174,0,5,242.8555974,242.8555974,0.010651,[-0.20277777777777778],[0.14444444444444443],[1],[0],[0],[1.53485569999998],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
175,0,175,0,5,244.4049396,244.4049396,0.0110248,[-0.06666666666666667],[0.1763888888888889],[1],[0],[0],[0.8040467000000717],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
177,0,177,0,5,246.3045159,246.3045159,0.0104085,[-0.4305555555555556],[-0.24444444444444444],[1],[0],[0],[1.0360951000000114],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
178,0,178,0,5,247.3541469,247.3541469,0.0109891,[0.28055555555555556],[0.07083333333333333],[1],[0],[0],[1.3685145000000603],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
179,0,179,0,5,248.736771,248.736771,0.0125438,[-0.30833333333333335],[0.2861111111111111],[1],[0],[0],[1.1519466999999395],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
181,0,181,0,5,251.8530894,251.8530894,0.0113375,[0.034722222222222224],[-0.19305555555555556],[1],[0],[0],[0.9026422000000593],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
187,0,187,0,5,259.8001409,259.8001409,0.0116263,[-0.45555555555555555],[-0.25416666666666665],[1],[0],[0],[1.017502600000057],[],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
191,0,191,0,5,264.5478432,264.5478432,0.0108628,[0.4027777777777778],[-0.3972222222222222],[1],[0],[0],[0.9034414000000197],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
195,0,195,0,5,270.645996,270.645996,0.0121542,[0.16944444444444445],[-0.3263888888888889],[1],[0],[0],[1.0017396000000645],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
196,0,196,0,5,271.6626564,271.6626564,0.0113465,[-0.015277777777777777],[0.2861111111111111],[1],[0],[0],[1.1519329999999854],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
199,0,199,0,5,275.8944049,275.8944049,0.0098843,[-0.002777777777777778],[0.16805555555555557],[1],[0],[0],[1.0159483999999566],['target'],943325,1,2023-09-15_11h48.48.157,Visual search_15-9-23,2023.1.3,60.04808651
,,,,,,,,,,,,,0,,,,,,,
,,,,,,,,,,,,,average =1.2608600000000002,,,,,,,
